"STATENAME","YEAR","White","Black","Latine","Asian"
"Louisiana",2017,0.584548536579274,0.321182119204591,0.0519913934385109,0.0181658733484575
"Maine",2017,0.933979685711655,0.0120704510119342,0.0163753914007487,0.0113623178859007
"Maryland",2017,0.506848692627463,0.293364685137265,0.101351794569128,0.0645072012930223
"Massachusetts",2017,0.715282283687077,0.0699712339348895,0.118230233188368,0.0652977870115815
"Michigan",2017,0.750702121224684,0.137277284357013,0.0504805561681421,0.0311315316295586
"Minnesota",2017,0.79869745146062,0.0640857539514178,0.0530735002616287,0.0483805024059437
"Mississippi",2017,0.565448879059013,0.379642103146677,0.0287359672933213,0.00968499715156999
"Missouri",2017,0.793970817524142,0.113422486379396,0.0417773228307303,0.0217988553916132
"Montana",2017,0.862525499931937,0.0047120732836868,0.037794635471155,0.00741842163631742
"Nebraska",2017,0.790704117961997,0.0450601955339268,0.109319631097936,0.0257416893914616
"Nevada",2017,0.487924940269289,0.0892410005340157,0.288554284984285,0.089398436778174
"New Hampshire",2017,0.903421594509959,0.0137437211190092,0.037250660003947,0.0280288502712626
"New Jersey",2017,0.54849536579505,0.12734380794977,0.204381940925047,0.0976480971266464
"New Mexico",2017,0.374370591024247,0.0170128396078676,0.487490361913154,0.0134281896679709
"New York",2017,0.550969981509264,0.143306555528457,0.191962487126185,0.0867477650078977
"North Carolina",2017,0.630196529509796,0.211237271642479,0.0936225807591416,0.0284728969002432
"North Dakota",2017,0.843709168604951,0.0300770592261247,0.035650317119698,0.0172890137981157
"Ohio",2017,0.789531924434553,0.121852358201566,0.0372378900433148,0.0222216046528364
"Oklahoma",2017,0.655844109590156,0.0719620419327659,0.106431308740267,0.0223345300168106
"Oregon",2017,0.756754408155305,0.0178349010421997,0.130353656581963,0.0465825330647855
"Pennsylvania",2017,0.76393133688966,0.107082818939963,0.0731218066060018,0.03433241417365
"Rhode Island",2017,0.720784153848622,0.0543751220934677,0.153779730644116,0.0369446575673413
"South Carolina",2017,0.636140578050697,0.268284833379077,0.0568959007588814,0.0156361923258423
"South Dakota",2017,0.823297679798911,0.0209022774260463,0.0355481299717363,0.0132740615362679
"Tennessee",2017,0.738989848695292,0.166721213153575,0.0537985200679454,0.0180301203814661
"Texas",2017,0.418894337866543,0.117876722211474,0.394303243190611,0.0476602457070929
"Utah",2017,0.782391572982814,0.0113868154733024,0.140507886788231,0.0332316407749869
"Vermont",2017,0.927505022792978,0.0126976847850661,0.0196774829754176,0.0176747795663321
"Virginia",2017,0.617006335286103,0.187625649053957,0.0934238644064595,0.0642940630600636
"Washington",2017,0.685709185425419,0.0351070783849777,0.126817930354861,0.0897006552887401
"West Virginia",2017,0.920099985846903,0.0407603682448563,0.0126017632445727,0.00836134122896241
"Wisconsin",2017,0.812355070319419,0.0602586531614362,0.0679084038379545,0.0296953679270563
"Wyoming",2017,0.841010503784642,0.0094887927983912,0.0998006266021077,0.00743809499149858
"Alabama",2018,0.652810190776311,0.267145961912661,0.043274873661764,0.013587306211641
"Alaska",2018,0.602119771424852,0.0305205318955627,0.0720453787301441,0.0690742814989192
"Arizona",2018,0.543139190082723,0.043764848404397,0.316078205756391,0.0339539904786154
"Arkansas",2018,0.720978822592553,0.151878426915962,0.0764861927948703,0.0177190115550837
"California",2018,0.36649097524853,0.0550700387250868,0.392863091770379,0.148024732383321
"Colorado",2018,0.677537465999855,0.0393320134757506,0.216731652914444,0.0325328624171373
"Connecticut",2018,0.662614322921405,0.100321188804436,0.165217001873951,0.0462405515210634
"Delaware",2018,0.618608291605104,0.217416568528213,0.0951579400126761,0.0406991111189231
"District of Columbia",2018,0.369811589354478,0.444212084759878,0.112622160850161,0.0381134734609334
"Florida",2018,0.532536641419388,0.153051939439395,0.261154332355603,0.0276522847555028
"Georgia",2018,0.522404777804976,0.312047892123894,0.0969663410008579,0.041875093576438
"Hawaii",2018,0.216531466936433,0.0181021914253593,0.107127746673509,0.449592429659885
"Idaho",2018,0.816768022948248,0.00583169156679254,0.127002043087251,0.0174546005946843
"Illinois",2018,0.609377070075692,0.13779255761678,0.173410888244953,0.0560628298386008
"Indiana",2018,0.78692916995797,0.094376944708197,0.0706114187975334,0.0238469679214116
"Iowa",2018,0.854459475087488,0.0347766024691515,0.0606103331754403,0.0272870859862269
"Kansas",2018,0.756108685870906,0.0558874948051011,0.119692874144344,0.029102767979502
"Kentucky",2018,0.844781646772157,0.078418862045089,0.0363803435769655,0.0151452353660212
"Louisiana",2018,0.583808335575833,0.320507950895906,0.0513998134755143,0.0162438535117548
"Maine",2018,0.930684606441702,0.0137178310883709,0.0164232922196885,0.0135377658763722
"Maryland",2018,0.502419441052851,0.294679314838124,0.104054334489877,0.0632002022930741
"Massachusetts",2018,0.70755731834371,0.0705250806373681,0.122709479315064,0.0676800444843866
"Michigan",2018,0.74794053370802,0.13706629158011,0.0514782288564879,0.0326288288765961
"Minnesota",2018,0.793938314924546,0.0657906297410936,0.0540052277783332,0.0479450040713369
"Mississippi",2018,0.563903928639592,0.379010423468038,0.0290792324202335,0.00927330380073195
"Missouri",2018,0.792936923361188,0.114665388711117,0.0409409883567194,0.0216508674188584
"Montana",2018,0.857900508799262,0.00402520933253632,0.0394058203623253,0.00717967062190237
"Nebraska",2018,0.784804392132145,0.0448605377790955,0.111501875322661,0.0232139858226021
"Nevada",2018,0.484515514145832,0.0882015243910477,0.29032043322023,0.0851379782177121
"New Hampshire",2018,0.898328676432642,0.0126200780000147,0.0388746765358557,0.0289683797671795
"New Jersey",2018,0.545941974648988,0.128520562338076,0.206464485683368,0.0965796787794157
